# Energy(GeV) Height(cm) Zenith(deg) Weights
1.122018e+03 1.128000e+07 80.000000 6.591712e-21
1.412538e+03 1.128000e+07 80.000000 3.669355e-21
1.778279e+03 1.128000e+07 80.000000 2.044976e-21
2.238721e+03 1.128000e+07 80.000000 1.130568e-21
2.818383e+03 1.128000e+07 80.000000 6.262336e-22
3.548134e+03 1.128000e+07 80.000000 3.455167e-22
4.466836e+03 1.128000e+07 80.000000 1.905592e-22
5.623413e+03 1.128000e+07 80.000000 1.051935e-22
7.079458e+03 1.128000e+07 80.000000 5.798590e-23
8.912509e+03 1.128000e+07 80.000000 3.193028e-23
1.122018e+04 1.128000e+07 80.000000 1.759977e-23
1.412538e+04 1.128000e+07 80.000000 9.706951e-24
1.778279e+04 1.128000e+07 80.000000 5.342194e-24
2.238721e+04 1.128000e+07 80.000000 2.925994e-24
2.818383e+04 1.128000e+07 80.000000 1.597661e-24
3.548134e+04 1.128000e+07 80.000000 8.689740e-25
4.466836e+04 1.128000e+07 80.000000 4.701331e-25
5.623413e+04 1.128000e+07 80.000000 2.531942e-25
7.079458e+04 1.128000e+07 80.000000 1.355138e-25
8.912509e+04 1.128000e+07 80.000000 7.216032e-26
1.122018e+05 1.128000e+07 80.000000 3.805443e-26
1.412538e+05 1.128000e+07 80.000000 1.993337e-26
1.778279e+05 1.128000e+07 80.000000 1.035765e-26
2.238721e+05 1.128000e+07 80.000000 5.310073e-27
2.818383e+05 1.128000e+07 80.000000 2.695462e-27
3.548134e+05 1.128000e+07 80.000000 1.355207e-27
4.466836e+05 1.128000e+07 80.000000 6.696894e-28
5.623413e+05 1.128000e+07 80.000000 3.254052e-28
7.079458e+05 1.128000e+07 80.000000 1.544770e-28
8.912509e+05 1.128000e+07 80.000000 7.124163e-29
1.122018e+06 1.128000e+07 80.000000 3.164901e-29
1.412538e+06 1.128000e+07 80.000000 1.368125e-29
1.778279e+06 1.128000e+07 80.000000 5.938577e-30
2.238721e+06 1.128000e+07 80.000000 2.557081e-30
2.818383e+06 1.128000e+07 80.000000 1.098463e-30
3.548134e+06 1.128000e+07 80.000000 5.063034e-31
4.466836e+06 1.128000e+07 80.000000 2.477294e-31
5.623413e+06 1.128000e+07 80.000000 1.241814e-31
7.079458e+06 1.128000e+07 80.000000 6.235849e-32
8.912509e+06 1.128000e+07 80.000000 3.150948e-32
1.122018e+03 1.072788e+07 80.000000 8.172451e-16
1.412538e+03 1.072788e+07 80.000000 3.671988e-16
1.778279e+03 1.072788e+07 80.000000 1.638947e-16
2.238721e+03 1.072788e+07 80.000000 7.267555e-17
2.818383e+03 1.072788e+07 80.000000 3.202592e-17
3.548134e+03 1.072788e+07 80.000000 1.404013e-17
4.466836e+03 1.072788e+07 80.000000 6.134902e-18
5.623413e+03 1.072788e+07 80.000000 2.673559e-18
7.079458e+03 1.072788e+07 80.000000 1.162495e-18
8.912509e+03 1.072788e+07 80.000000 5.051782e-19
1.122018e+04 1.072788e+07 80.000000 2.193499e-19
1.412538e+04 1.072788e+07 80.000000 9.524869e-20
1.778279e+04 1.072788e+07 80.000000 4.136828e-20
2.238721e+04 1.072788e+07 80.000000 1.795888e-20
2.818383e+04 1.072788e+07 80.000000 7.790726e-21
3.548134e+04 1.072788e+07 80.000000 3.376540e-21
4.466836e+04 1.072788e+07 80.000000 1.461952e-21
5.623413e+04 1.072788e+07 80.000000 6.321202e-22
7.079458e+04 1.072788e+07 80.000000 2.730907e-22
8.912509e+04 1.072788e+07 80.000000 1.178367e-22
1.122018e+05 1.072788e+07 80.000000 5.076831e-23
1.412538e+05 1.072788e+07 80.000000 2.181620e-23
1.778279e+05 1.072788e+07 80.000000 9.366090e-24
2.238721e+05 1.072788e+07 80.000000 4.015839e-24
2.818383e+05 1.072788e+07 80.000000 1.720273e-24
3.548134e+05 1.072788e+07 80.000000 7.371313e-25
4.466836e+05 1.072788e+07 80.000000 3.154945e-25
5.623413e+05 1.072788e+07 80.000000 1.352034e-25
7.079458e+05 1.072788e+07 80.000000 5.807096e-26
8.912509e+05 1.072788e+07 80.000000 2.509891e-26
1.122018e+06 1.072788e+07 80.000000 1.093470e-26
1.412538e+06 1.072788e+07 80.000000 4.814818e-27
1.778279e+06 1.072788e+07 80.000000 2.153664e-27
2.238721e+06 1.072788e+07 80.000000 9.810326e-28
2.818383e+06 1.072788e+07 80.000000 4.545129e-28
3.548134e+06 1.072788e+07 80.000000 2.142033e-28
4.466836e+06 1.072788e+07 80.000000 1.023835e-28
5.623413e+06 1.072788e+07 80.000000 4.951028e-29
7.079458e+06 1.072788e+07 80.000000 2.408757e-29
8.912509e+06 1.072788e+07 80.000000 1.180362e-29
1.122018e+03 1.018278e+07 80.000000 2.880109e-15
1.412538e+03 1.018278e+07 80.000000 1.317754e-15
1.778279e+03 1.018278e+07 80.000000 5.976873e-16
2.238721e+03 1.018278e+07 80.000000 2.688425e-16
2.818383e+03 1.018278e+07 80.000000 1.199879e-16
3.548134e+03 1.018278e+07 80.000000 5.319766e-17
4.466836e+03 1.018278e+07 80.000000 2.347364e-17
5.623413e+03 1.018278e+07 80.000000 1.031628e-17
7.079458e+03 1.018278e+07 80.000000 4.517433e-18
8.912509e+03 1.018278e+07 80.000000 1.974305e-18
