# Energy(GeV) Height(cm) Zenith(deg) Weights
8.912509e+05 9.670029e+06 85.000000 6.822588e-13
1.122018e+06 9.670029e+06 85.000000 4.198445e-13
1.412538e+06 9.670029e+06 85.000000 2.580012e-13
1.778279e+06 9.670029e+06 85.000000 1.574869e-13
2.238721e+06 9.670029e+06 85.000000 9.534041e-14
2.818383e+06 9.670029e+06 85.000000 5.697982e-14
3.548134e+06 9.670029e+06 85.000000 3.350188e-14
4.466836e+06 9.670029e+06 85.000000 1.931989e-14
5.623413e+06 9.670029e+06 85.000000 1.085347e-14
7.079458e+06 9.670029e+06 85.000000 5.895162e-15
8.912509e+06 9.670029e+06 85.000000 3.076895e-15
1.122018e+03 8.901705e+06 85.000000 1.296086e-06
1.412538e+03 8.901705e+06 85.000000 8.920284e-07
1.778279e+03 8.901705e+06 85.000000 6.059093e-07
2.238721e+03 8.901705e+06 85.000000 4.065916e-07
2.818383e+03 8.901705e+06 85.000000 2.698846e-07
3.548134e+03 8.901705e+06 85.000000 1.773305e-07
4.466836e+03 8.901705e+06 85.000000 1.154313e-07
5.623413e+03 8.901705e+06 85.000000 7.450894e-08
7.079458e+03 8.901705e+06 85.000000 4.774504e-08
8.912509e+03 8.901705e+06 85.000000 3.038479e-08
1.122018e+04 8.901705e+06 85.000000 1.921300e-08
1.412538e+04 8.901705e+06 85.000000 1.207780e-08
1.778279e+04 8.901705e+06 85.000000 7.550891e-09
2.238721e+04 8.901705e+06 85.000000 4.698077e-09
2.818383e+04 8.901705e+06 85.000000 2.909881e-09
3.548134e+04 8.901705e+06 85.000000 1.794923e-09
4.466836e+04 8.901705e+06 85.000000 1.103503e-09
5.623413e+04 8.901705e+06 85.000000 6.765322e-10
7.079458e+04 8.901705e+06 85.000000 4.137528e-10
8.912509e+04 8.901705e+06 85.000000 2.526405e-10
1.122018e+05 8.901705e+06 85.000000 1.540740e-10
1.412538e+05 8.901705e+06 85.000000 9.391129e-11
1.778279e+05 8.901705e+06 85.000000 5.725148e-11
2.238721e+05 8.901705e+06 85.000000 3.492717e-11
2.818383e+05 8.901705e+06 85.000000 2.133956e-11
3.548134e+05 8.901705e+06 85.000000 1.305327e-11
4.466836e+05 8.901705e+06 85.000000 8.006371e-12
5.623413e+05 8.901705e+06 85.000000 4.922045e-12
7.079458e+05 8.901705e+06 85.000000 3.030817e-12
8.912509e+05 8.901705e+06 85.000000 1.867489e-12
1.122018e+06 8.901705e+06 85.000000 1.149537e-12
1.412538e+06 8.901705e+06 85.000000 7.066091e-13
