# Energy(GeV) Height(cm) Zenith(deg) Weights
1.122018e+03 1.128000e+07 80.000000 6.591712e-21
1.412538e+03 1.128000e+07 80.000000 3.669355e-21
1.778279e+03 1.128000e+07 80.000000 2.044976e-21
2.238721e+03 1.128000e+07 80.000000 1.130568e-21
2.818383e+03 1.128000e+07 80.000000 6.262336e-22
3.548134e+03 1.128000e+07 80.000000 3.455167e-22
4.466836e+03 1.128000e+07 80.000000 1.905592e-22
5.623413e+03 1.128000e+07 80.000000 1.051935e-22
7.079458e+03 1.128000e+07 80.000000 5.798590e-23
8.912509e+03 1.128000e+07 80.000000 3.193028e-23
1.122018e+04 1.128000e+07 80.000000 1.759977e-23
1.412538e+04 1.128000e+07 80.000000 9.706951e-24
1.778279e+04 1.128000e+07 80.000000 5.342194e-24
2.238721e+04 1.128000e+07 80.000000 2.925994e-24
2.818383e+04 1.128000e+07 80.000000 1.597661e-24
3.548134e+04 1.128000e+07 80.000000 8.689740e-25
4.466836e+04 1.128000e+07 80.000000 4.701331e-25
5.623413e+04 1.128000e+07 80.000000 2.531942e-25
7.079458e+04 1.128000e+07 80.000000 1.355138e-25
8.912509e+04 1.128000e+07 80.000000 7.216032e-26
1.122018e+05 1.128000e+07 80.000000 3.805443e-26
1.412538e+05 1.128000e+07 80.000000 1.993337e-26
1.778279e+05 1.128000e+07 80.000000 1.035765e-26
2.238721e+05 1.128000e+07 80.000000 5.310073e-27
2.818383e+05 1.128000e+07 80.000000 2.695462e-27
3.548134e+05 1.128000e+07 80.000000 1.355207e-27
4.466836e+05 1.128000e+07 80.000000 6.696894e-28
5.623413e+05 1.128000e+07 80.000000 3.254052e-28
7.079458e+05 1.128000e+07 80.000000 1.544770e-28
8.912509e+05 1.128000e+07 80.000000 7.124163e-29
1.122018e+06 1.128000e+07 80.000000 3.164901e-29
1.412538e+06 1.128000e+07 80.000000 1.368125e-29
1.778279e+06 1.128000e+07 80.000000 5.938577e-30
2.238721e+06 1.128000e+07 80.000000 2.557081e-30
2.818383e+06 1.128000e+07 80.000000 1.098463e-30
3.548134e+06 1.128000e+07 80.000000 5.063034e-31
4.466836e+06 1.128000e+07 80.000000 2.477294e-31
5.623413e+06 1.128000e+07 80.000000 1.241814e-31
7.079458e+06 1.128000e+07 80.000000 6.235849e-32
8.912509e+06 1.128000e+07 80.000000 3.150948e-32
1.122018e+03 1.100870e+07 80.000000 2.111849e-16
1.412538e+03 1.100870e+07 80.000000 9.366523e-17
1.778279e+03 1.100870e+07 80.000000 4.133634e-17
2.238721e+03 1.100870e+07 80.000000 1.815173e-17
2.818383e+03 1.100870e+07 80.000000 7.932398e-18
3.548134e+03 1.100870e+07 80.000000 3.453096e-18
4.466836e+03 1.100870e+07 80.000000 1.500009e-18
5.623413e+03 1.100870e+07 80.000000 6.505825e-19
7.079458e+03 1.100870e+07 80.000000 2.818734e-19
8.912509e+03 1.100870e+07 80.000000 1.222214e-19
1.122018e+04 1.100870e+07 80.000000 5.301661e-20
1.412538e+04 1.100870e+07 80.000000 2.302691e-20
1.778279e+04 1.100870e+07 80.000000 1.001626e-20
2.238721e+04 1.100870e+07 80.000000 4.360864e-21
2.818383e+04 1.100870e+07 80.000000 1.900248e-21
3.548134e+04 1.100870e+07 80.000000 8.287385e-22
4.466836e+04 1.100870e+07 80.000000 3.617863e-22
5.623413e+04 1.100870e+07 80.000000 1.580856e-22
7.079458e+04 1.100870e+07 80.000000 6.919171e-23
8.912509e+04 1.100870e+07 80.000000 3.033337e-23
1.122018e+05 1.100870e+07 80.000000 1.331423e-23
1.412538e+05 1.100870e+07 80.000000 5.848119e-24
1.778279e+05 1.100870e+07 80.000000 2.574567e-24
2.238721e+05 1.100870e+07 80.000000 1.134854e-24
2.818383e+05 1.100870e+07 80.000000 5.012697e-25
3.548134e+05 1.100870e+07 80.000000 2.221393e-25
4.466836e+05 1.100870e+07 80.000000 9.852378e-26
5.623413e+05 1.100870e+07 80.000000 4.384637e-26
7.079458e+05 1.100870e+07 80.000000 1.958922e-26
8.912509e+05 1.100870e+07 80.000000 8.815329e-27
1.122018e+06 1.100870e+07 80.000000 3.995826e-27
1.412538e+06 1.100870e+07 80.000000 1.826782e-27
1.778279e+06 1.100870e+07 80.000000 8.457858e-28
2.238721e+06 1.100870e+07 80.000000 3.971038e-28
2.818383e+06 1.100870e+07 80.000000 1.886185e-28
3.548134e+06 1.100870e+07 80.000000 9.064397e-29
4.466836e+06 1.100870e+07 80.000000 4.392706e-29
5.623413e+06 1.100870e+07 80.000000 2.141666e-29
7.079458e+06 1.100870e+07 80.000000 1.044794e-29
8.912509e+06 1.100870e+07 80.000000 5.110024e-30
1.122018e+03 1.073908e+07 80.000000 7.864946e-16
1.412538e+03 1.073908e+07 80.000000 3.532244e-16
1.778279e+03 1.073908e+07 80.000000 1.575949e-16
2.238721e+03 1.073908e+07 80.000000 6.985765e-17
2.818383e+03 1.073908e+07 80.000000 3.077475e-17
3.548134e+03 1.073908e+07 80.000000 1.348805e-17
4.466836e+03 1.073908e+07 80.000000 5.892340e-18
5.623413e+03 1.073908e+07 80.000000 2.567365e-18
7.079458e+03 1.073908e+07 80.000000 1.116152e-18
8.912509e+03 1.073908e+07 80.000000 4.849839e-19
