# Energy(GeV) Height(cm) Zenith(deg) Weights
8.912509e+05 9.670029e+06 85.000000 3.379376e-25
1.122018e+06 9.670029e+06 85.000000 1.375834e-25
1.412538e+06 9.670029e+06 85.000000 5.631347e-26
1.778279e+06 9.670029e+06 85.000000 2.332700e-26
2.238721e+06 9.670029e+06 85.000000 9.824900e-27
2.818383e+06 9.670029e+06 85.000000 4.215964e-27
3.548134e+06 9.670029e+06 85.000000 1.847985e-27
4.466836e+06 9.670029e+06 85.000000 8.272374e-28
5.623413e+06 9.670029e+06 85.000000 3.777881e-28
7.079458e+06 9.670029e+06 85.000000 1.752088e-28
8.912509e+06 9.670029e+06 85.000000 8.257122e-29
1.122018e+03 8.901705e+06 85.000000 2.991019e-14
1.412538e+03 8.901705e+06 85.000000 1.415580e-14
1.778279e+03 8.901705e+06 85.000000 6.616030e-15
2.238721e+03 8.901705e+06 85.000000 3.055667e-15
2.818383e+03 8.901705e+06 85.000000 1.396145e-15
3.548134e+03 8.901705e+06 85.000000 6.320871e-16
4.466836e+03 8.901705e+06 85.000000 2.841775e-16
5.623413e+03 8.901705e+06 85.000000 1.270080e-16
7.079458e+03 8.901705e+06 85.000000 5.645868e-17
8.912509e+03 8.901705e+06 85.000000 2.500537e-17
1.122018e+04 8.901705e+06 85.000000 1.103323e-17
1.412538e+04 8.901705e+06 85.000000 4.855286e-18
1.778279e+04 8.901705e+06 85.000000 2.131308e-18
2.238721e+04 8.901705e+06 85.000000 9.327267e-19
2.818383e+04 8.901705e+06 85.000000 4.068431e-19
3.548134e+04 8.901705e+06 85.000000 1.768403e-19
4.466836e+04 8.901705e+06 85.000000 7.659363e-20
5.623413e+04 8.901705e+06 85.000000 3.303809e-20
7.079458e+04 8.901705e+06 85.000000 1.419761e-20
8.912509e+04 8.901705e+06 85.000000 6.073972e-21
1.122018e+05 8.901705e+06 85.000000 2.585902e-21
1.412538e+05 8.901705e+06 85.000000 1.093684e-21
1.778279e+05 8.901705e+06 85.000000 4.601493e-22
2.238721e+05 8.901705e+06 85.000000 1.925541e-22
2.818383e+05 8.901705e+06 85.000000 8.010492e-23
3.548134e+05 8.901705e+06 85.000000 3.314878e-23
4.466836e+05 8.901705e+06 85.000000 1.362946e-23
5.623413e+05 8.901705e+06 85.000000 5.575596e-24
7.079458e+05 8.901705e+06 85.000000 2.270223e-24
8.912509e+05 8.901705e+06 85.000000 9.232214e-25
1.122018e+06 8.901705e+06 85.000000 3.759593e-25
1.412538e+06 8.901705e+06 85.000000 1.539237e-25
1.778279e+06 8.901705e+06 85.000000 6.378013e-26
2.238721e+06 8.901705e+06 85.000000 2.687242e-26
2.818383e+06 8.901705e+06 85.000000 1.153572e-26
3.548134e+06 8.901705e+06 85.000000 5.058566e-27
4.466836e+06 8.901705e+06 85.000000 2.265406e-27
5.623413e+06 8.901705e+06 85.000000 1.035022e-27
7.079458e+06 8.901705e+06 85.000000 4.802113e-28
8.912509e+06 8.901705e+06 85.000000 2.263923e-28
1.122018e+03 8.157939e+06 85.000000 7.904040e-14
1.412538e+03 8.157939e+06 85.000000 3.744565e-14
1.778279e+03 8.157939e+06 85.000000 1.751985e-14
2.238721e+03 8.157939e+06 85.000000 8.100538e-15
2.818383e+03 8.157939e+06 85.000000 3.705084e-15
3.548134e+03 8.157939e+06 85.000000 1.679069e-15
4.466836e+03 8.157939e+06 85.000000 7.555417e-16
5.623413e+03 8.157939e+06 85.000000 3.379329e-16
7.079458e+03 8.157939e+06 85.000000 1.503208e-16
8.912509e+03 8.157939e+06 85.000000 6.661587e-17
1.122018e+04 8.157939e+06 85.000000 2.940873e-17
1.412538e+04 8.157939e+06 85.000000 1.294780e-17
1.778279e+04 8.157939e+06 85.000000 5.686075e-18
2.238721e+04 8.157939e+06 85.000000 2.489339e-18
2.818383e+04 8.157939e+06 85.000000 1.086167e-18
3.548134e+04 8.157939e+06 85.000000 4.722431e-19
4.466836e+04 8.157939e+06 85.000000 2.045820e-19
5.623413e+04 8.157939e+06 85.000000 8.825811e-20
7.079458e+04 8.157939e+06 85.000000 3.793094e-20
8.912509e+04 8.157939e+06 85.000000 1.622794e-20
1.122018e+05 8.157939e+06 85.000000 6.908553e-21
1.412538e+05 8.157939e+06 85.000000 2.921601e-21
1.778279e+05 8.157939e+06 85.000000 1.228994e-21
2.238721e+05 8.157939e+06 85.000000 5.141542e-22
2.818383e+05 8.157939e+06 85.000000 2.138221e-22
3.548134e+05 8.157939e+06 85.000000 8.844448e-23
4.466836e+05 8.157939e+06 85.000000 3.634535e-23
5.623413e+05 8.157939e+06 85.000000 1.485847e-23
7.079458e+05 8.157939e+06 85.000000 6.045044e-24
8.912509e+05 8.157939e+06 85.000000 2.455876e-24
1.122018e+06 8.157939e+06 85.000000 9.989154e-25
1.412538e+06 8.157939e+06 85.000000 4.084098e-25
1.778279e+06 8.157939e+06 85.000000 1.689648e-25
2.238721e+06 8.157939e+06 85.000000 7.106653e-26
2.818383e+06 8.157939e+06 85.000000 3.045114e-26
3.548134e+06 8.157939e+06 85.000000 1.332808e-26
4.466836e+06 8.157939e+06 85.000000 5.957810e-27
5.623413e+06 8.157939e+06 85.000000 2.717307e-27
7.079458e+06 8.157939e+06 85.000000 1.258767e-27
8.912509e+06 8.157939e+06 85.000000 5.926244e-28
1.122018e+03 7.438817e+06 85.000000 2.024051e-13
1.412538e+03 7.438817e+06 85.000000 9.602034e-14
1.778279e+03 7.438817e+06 85.000000 4.498156e-14
2.238721e+03 7.438817e+06 85.000000 2.082169e-14
