# Energy(GeV) Height(cm) Zenith(deg) Weights
1.412538e+06 1.422168e+06 86.363636 4.940920e-22
7.079458e+06 6.145349e+06 89.797980 2.069211e-26
4.466836e+06 3.243089e+06 84.141414 3.061202e-24
5.623413e+03 1.092595e+07 87.878788 1.969125e-18
2.818383e+06 6.147528e+06 85.555556 4.303565e-25
2.238721e+03 8.250920e+06 83.737374 5.563891e-15
7.079458e+03 1.910640e+06 87.373737 2.950439e-13
7.079458e+04 2.652991e+06 83.434343 3.653493e-17
3.548134e+06 1.109359e+07 84.747475 7.389363e-29
2.818383e+05 1.099386e+07 87.272727 8.783740e-25
3.548134e+03 2.030707e+06 81.010101 2.058005e-12
2.818383e+04 1.882714e+06 84.444444 1.655662e-15
2.818383e+06 1.971517e+06 84.242424 3.115942e-23
2.818383e+03 7.324840e+06 85.858586 1.067523e-14
2.818383e+06 8.591530e+06 83.232323 1.286419e-26
2.818383e+03 9.450938e+06 82.929293 4.532918e-16
1.122018e+05 4.480897e+06 88.080808 1.268653e-18
8.912509e+05 9.517758e+06 88.383838 3.657480e-25
2.818383e+03 1.070855e+07 80.101010 3.457219e-17
2.238721e+03 4.202272e+05 88.383838 1.436815e-11
5.623413e+03 5.562211e+06 85.656566 1.111116e-14
4.466836e+03 7.175129e+06 83.333333 2.158692e-15
3.548134e+04 1.194453e+06 87.474747 8.603898e-16
1.122018e+05 2.071684e+06 85.454545 1.008336e-17
2.238721e+04 6.024137e+06 82.020202 2.954496e-17
5.623413e+04 2.218410e+06 89.191919 1.650134e-16
1.122018e+06 6.561888e+06 82.020202 5.819544e-24
1.122018e+03 2.632750e+06 87.575758 1.164843e-10
4.466836e+03 9.329044e+06 81.414141 9.461166e-17
2.818383e+03 3.108635e+06 82.222222 2.073828e-12
4.466836e+06 1.532980e+06 89.090909 6.779041e-24
1.778279e+06 2.416817e+06 89.696970 2.180411e-22
4.466836e+03 1.246740e+06 80.404040 9.660455e-13
8.912509e+03 1.092922e+07 82.121212 2.472705e-19
4.466836e+04 1.661873e+06 87.272727 3.673288e-16
8.912509e+06 8.073818e+06 84.141414 5.537467e-28
2.818383e+03 8.841798e+06 84.848485 1.226235e-15
2.238721e+05 8.219831e+06 87.878788 4.794999e-22
3.548134e+06 2.329647e+06 88.787879 1.558645e-23
2.238721e+04 3.727962e+05 89.393939 4.522023e-15
1.412538e+06 8.373945e+05 84.545455 4.383486e-22
